Latitude,Longitude,Title,Address
-34.914177,138.513519,McDonald's Fulham Gardens,"447 Tapleys Hill Rd, Fulham Gardens, SA"
-34.873583,138.549516,McDonald's Kilkenny,"470 Torrens Road, Kilkenny, SA"
-34.94827,138.521029,McDonald's West Beach,"Reginald Ansett Dr, West Beach, SA"
-34.860528,138.601132,McDonald's Enfield,"425 Main North Rd & Warwick St, Enfield, SA"
-34.923361,138.587507,McDonald's Adelaide,"20 West Tce, Adelaide, SA"
-34.922816,138.597806,McDonald's Adelaide,"44 Hindley St, Adelaide, SA"
-34.888818,138.613384,McDonald's Collinswood,"61 North East Rd, Collinswood, SA"
-34.921505,138.600767,McDonald's Adelaide,"22 Rundle Mall, Adelaide, SA"
-34.979808,138.512126,McDonald's Glenelg,"15 Moseley Sq, Glenelg, SA"
-34.922578,138.605402,McDonald's Adelaide,"Shop 33 Citi Centre Arcade, 149 Rundle Mall, Adelaide, SA"
-34.869595,138.493599,McDonald's Westfield West Lakes,"LOT 1 Turner Dr, West Lakes SA 5021"
